position,B1_number,B1_gillogly_table1,B1_nara_straight,B1_pamphlet_encoder_key,B1_pamphlet_straight,B3_number,B3_gillogly_table1,B3_nara_straight,B3_pamphlet_encoder_key,B3_pamphlet_straight
441,88,A,A,A,A,27,A,A,A,A
442,612,E,H,S,H,19,W,W,W,W
443,1431,?,?,?,?,13,P,P,P,P
444,90,B,B,B,B,82,M,M,M,M
445,716,T,W,O,W,48,G,G,G,G
446,275,S,S,S,S,162,P,P,S,S
447,74,T,T,T,T,119,T,T,T,T
448,83,A,A,A,A,34,T,T,T,T
449,11,F,F,F,F,127,G,G,G,G
450,426,A,A,A,T,139,I,I,I,I
451,89,E,E,E,E,34,T,T,T,T
452,72,W,W,W,W,128,T,T,T,T
453,84,C,C,C,C,129,W,W,W,W
454,1300,I,A,M,D,74,T,T,T,T
455,1706,?,?,?,?,63,D,D,D,D
456,814,C,O,O,O,120,J,J,J,J
457,221,B,B,T,T,11,F,F,F,F
458,132,O,O,O,O,54,T,T,T,T
459,40,W,W,W,W,61,T,T,T,T
460,102,L,L,L,L,73,H,H,H,H
461,34,T,T,T,T,92,C,C,C,C
462,868,S,O,O,O,180,S,S,T,T
463,975,O,O,W,I,66,W,W,W,W
464,1101,A,A,C,A,75,T,T,T,T
465,84,C,C,C,C,101,L,L,L,L
466,16,T,T,T,T,124,C,C,C,C
467,79,E,E,E,E,265,G,G,G,S
468,23,W,W,W,W,89,E,E,E,E
469,16,T,T,T,T,96,R,R,R,R
470,81,A,A,A,A,126,T,T,T,T
471,122,F,F,F,F,274,S,S,S,F
472,324,O,O,O,E,896,W,T,C,T
473,403,A,A,A,T,917,A,A,C,A
474,912,I,I,A,P,434,T,T,T,C
475,227,T,T,W,W,461,M,M,M,H
476,936,H,H,E,T,235,O,O,T,T
477,447,T,T,T,O,890,O,A,T,A
478,55,T,T,T,T,312,O,O,O,H
479,86,T,T,T,T,413,R,R,R,W
480,34,T,T,T,T,328,O,O,O,T
481,43,O,O,O,O,381,O,O,O,B
482,212,S,S,T,T,96,R,R,R,R
483,107,H,H,H,H,105,P,P,P,P
484,96,R,R,R,R,217,T,T,S,S
485,314,I,I,I,R,66,W,W,W,W
486,264,S,S,S,O,118,D,D,D,D
487,1065,T,T,U,T,22,T,T,T,T
488,323,E,E,E,T,77,B,B,B,B
489,428,T,T,T,F,64,T,T,T,T
490,601,O,T,H,T,42,L,L,L,L
491,203,E,E,A,A,12,O,O,O,O
492,124,C,C,C,C,7,E,E,E,E
493,95,U,U,U,I,55,T,T,T,T
494,216,S,S,A,A,24,A,A,A,A
495,814,C,O,O,O,83,A,A,A,A
496,2906,?,?,?,?,67,I,I,I,I
497,654,R,T,P,T,97,T,T,T,T
498,820,A,L,O,L,109,T,T,T,T
499,2,I,I,I,I,121,P,P,P,P
500,301,H,H,H,T,135,D,D,D,D
501,112,R,R,R,R,181,A,A,S,S
502,176,L,L,M,M,203,E,E,A,A
503,213,W,W,S,S,219,R,R,T,T
504,71,S,S,S,S,228,A,A,T,T
505,87,T,T,T,T,256,R,R,R,T
506,96,R,R,R,R,21,C,C,C,C
507,202,A,A,A,A,34,T,T,T,T
508,35,S,S,S,S,77,B,B,B,B
509,10,N,N,N,N,319,I,I,I,H
510,2,I,I,I,I,374,T,T,T,I
511,41,T,T,T,T,382,A,A,A,O
512,17,P,P,P,P,675,J,A,G,A
513,84,C,C,C,C,684,L,O,Q,O
514,221,B,B,T,T,717,S,T,O,T
515,736,F,W,I,W,864,H,U,A,U
516,820,A,L,O,L,203,E,E,A,A
517,214,E,E,W,W,4,C,C,C,C
518,11,F,F,F,F,18,B,B,B,B
519,60,T,T,T,T,92,C,C,C,C
520,760,B,U,F,U,16,T,T,T,T
521,,,,,,63,D,D,D,D
522,,,,,,82,M,M,M,M
523,,,,,,22,T,T,T,T
524,,,,,,46,O,O,O,O
525,,,,,,55,T,T,T,T
526,,,,,,69,T,T,T,T
527,,,,,,74,T,T,T,T
528,,,,,,112,R,R,R,R
529,,,,,,134,B,B,B,B
530,,,,,,186,D,D,W,W
531,,,,,,175,M,M,S,S
532,,,,,,119,T,T,T,T
533,,,,,,213,W,W,S,S
534,,,,,,416,O,O,O,R
535,,,,,,312,O,O,O,H
536,,,,,,343,H,H,H,H
537,,,,,,264,S,S,S,O
538,,,,,,119,T,T,T,T
539,,,,,,186,D,D,W,W
540,,,,,,218,T,T,T,T
541,,,,,,343,H,H,H,H
542,,,,,,417,R,R,R,O
543,,,,,,845,C,A,O,A
544,,,,,,951,A,A,E,F
545,,,,,,124,C,C,C,C
546,,,,,,209,M,M,A,A
547,,,,,,49,E,E,E,E
548,,,,,,617,O,N,O,N
549,,,,,,856,O,O,O,O
550,,,,,,924,C,C,T,A
551,,,,,,936,H,H,E,T
552,,,,,,72,W,W,W,W
553,,,,,,19,W,W,W,W
554,,,,,,28,A,A,A,A
555,,,,,,11,F,F,F,F
556,,,,,,35,S,S,S,S
557,,,,,,42,L,L,L,L
558,,,,,,40,W,W,W,W
559,,,,,,66,W,W,W,W
560,,,,,,85,E,E,E,E
561,,,,,,94,C,C,C,C
562,,,,,,112,R,R,R,R
563,,,,,,65,C,C,C,C
564,,,,,,82,M,M,M,M
565,,,,,,115,I,I,I,I
566,,,,,,119,T,T,T,T
567,,,,,,236,A,A,O,O
568,,,,,,244,E,E,O,O
569,,,,,,186,D,D,W,W
570,,,,,,172,T,T,T,T
571,,,,,,112,R,R,R,R
572,,,,,,85,E,E,E,E
573,,,,,,6,H,H,H,H
574,,,,,,56,O,O,O,O
575,,,,,,38,S,S,S,S
576,,,,,,44,N,N,N,N
577,,,,,,85,E,E,E,E
578,,,,,,72,W,W,W,W
579,,,,,,32,T,T,T,T
580,,,,,,47,N,N,N,N
581,,,,,,63,D,D,D,D
582,,,,,,96,R,R,R,R
583,,,,,,124,C,C,C,C
584,,,,,,217,T,T,S,S
585,,,,,,314,I,I,I,R
586,,,,,,319,I,I,I,H
587,,,,,,221,B,B,T,T
588,,,,,,644,W,A,R,A
589,,,,,,817,M,O,F,O
590,,,,,,821,A,A,L,A
591,,,,,,934,O,O,B,C
592,,,,,,922,O,O,C,H
593,,,,,,416,O,O,O,R
594,,,,,,975,O,O,W,I
595,,,,,,10,N,N,N,N
596,,,,,,22,T,T,T,T
597,,,,,,18,B,B,B,B
598,,,,,,46,O,O,O,O
599,,,,,,137,T,T,T,T
600,,,,,,181,A,A,S,S
601,,,,,,101,L,L,L,L
602,,,,,,39,T,T,T,T
603,,,,,,86,T,T,T,T
604,,,,,,103,A,A,A,A
605,,,,,,116,A,A,A,A
606,,,,,,138,E,E,E,E
607,,,,,,164,O,O,A,A
608,,,,,,212,S,S,T,T
609,,,,,,218,T,T,T,T
610,,,,,,296,F,F,F,T
611,,,,,,815,A,C,O,C
612,,,,,,380,B,B,B,S
613,,,,,,412,W,W,W,P
614,,,,,,460,H,H,H,W
615,,,,,,495,B,B,R,T
616,,,,,,675,J,A,G,A
617,,,,,,820,A,L,O,L
618,,,,,,952,B,B,D,A
