year,pdsi_strasbourg_cell,pdsi_mean_3x3,pdsi_mean_5x5,pdsi_48.25N_7.25E,pdsi_48.25N_7.75E,pdsi_48.25N_8.25E,pdsi_48.75N_7.25E,pdsi_48.75N_7.75E,pdsi_48.75N_8.25E,pdsi_49.25N_7.25E,pdsi_49.25N_7.75E,pdsi_49.25N_8.25E,pdsi_basel_47.75N_7.75E,pdsi_colmar_48.25N_7.25E,pdsi_freiburg_47.75N_7.75E,pdsi_karlsruhe_49.25N_8.25E,pdsi_nancy_48.75N_6.25E,pdsi_stuttgart_48.75N_9.25E,pdsi_strasbourg_cell_rank_wettest1,pdsi_strasbourg_cell_rank_driest1,pdsi_strasbourg_cell_pctile_1500_1600,pdsi_mean_3x3_rank_wettest1,pdsi_mean_3x3_rank_driest1,pdsi_mean_3x3_pctile_1500_1600,pdsi_mean_5x5_rank_wettest1,pdsi_mean_5x5_rank_driest1,pdsi_mean_5x5_pctile_1500_1600
1575,-0.647,-0.468,-0.626,-1.033,-0.638,-1.478,-0.456,-0.647,0.600,-0.598,0.675,-0.641,-0.982,-1.033,-0.982,-0.641,-0.452,-0.839,58,44,0.436,53,49,0.485,58,44,0.436
1576,-1.153,-0.893,-0.852,-1.094,-0.816,-0.699,-0.321,-1.153,-0.726,-1.382,-0.100,-1.746,-0.538,-1.094,-0.538,-1.746,-0.004,-1.722,67,35,0.347,66,36,0.356,65,37,0.366
1577,0.803,1.028,0.922,0.339,1.155,0.972,1.497,0.803,1.718,0.486,1.025,1.258,0.857,0.339,0.857,1.258,1.945,0.145,31,71,0.703,24,78,0.772,27,75,0.743
1578,-0.198,-0.557,-0.879,-0.264,-0.041,-0.294,-0.750,-0.198,-0.930,-0.303,-0.852,-1.382,-0.960,-0.264,-0.960,-1.382,-1.214,-1.395,50,52,0.515,55,47,0.465,67,35,0.347
1579,0.976,0.799,0.908,1.040,0.833,0.387,1.278,0.976,0.579,1.016,1.108,-0.027,1.606,1.040,1.606,-0.027,2.184,1.615,27,75,0.743,33,69,0.683,28,74,0.733
1580,0.986,1.226,1.034,1.370,1.223,0.500,1.230,0.986,2.268,1.108,2.180,0.168,1.163,1.370,1.163,0.168,0.749,-0.578,26,76,0.752,21,81,0.802,22,80,0.792
1581,1.318,1.239,0.762,1.231,2.102,0.810,1.550,1.318,1.380,0.960,1.616,0.183,0.809,1.231,0.809,0.183,1.098,-0.251,21,81,0.802,20,82,0.812,32,70,0.693
1582,0.394,0.646,0.271,0.443,0.342,0.032,0.128,0.394,1.750,0.606,0.667,1.451,0.101,0.443,0.101,1.451,0.152,-0.313,40,62,0.614,37,65,0.644,44,58,0.574
1583,-0.988,-0.423,-0.704,-0.612,-0.597,-0.102,-0.450,-0.988,0.339,-0.902,-0.645,0.149,-1.167,-0.612,-1.167,0.149,-0.752,0.363,63,39,0.386,51,51,0.505,63,39,0.386
1584,0.872,1.451,1.300,0.990,1.298,1.512,1.792,0.872,1.976,1.050,2.047,1.525,0.692,0.990,0.692,1.525,1.797,2.062,29,73,0.723,15,87,0.861,16,86,0.851
1585,2.512,2.937,2.727,2.203,2.529,2.277,2.845,2.512,3.055,2.860,4.108,4.041,2.164,2.203,2.164,4.041,2.462,2.629,6,96,0.950,4,98,0.970,5,97,0.960
1586,1.979,1.305,1.108,1.036,0.839,0.114,0.433,1.979,2.105,2.214,1.990,1.034,0.742,1.036,0.742,1.034,-0.652,0.521,10,92,0.911,18,84,0.832,19,83,0.822
1587,-0.884,-1.804,-1.684,-0.870,-1.234,-2.489,-1.354,-0.884,-3.313,-1.173,-0.042,-4.875,-1.598,-0.870,-1.598,-4.875,-2.508,0.465,62,40,0.396,75,27,0.267,76,26,0.257
1588,-0.199,0.822,1.101,0.550,-0.617,1.096,1.987,-0.199,1.524,-0.275,2.369,0.959,1.304,0.550,1.304,0.959,1.962,1.308,51,51,0.505,32,70,0.693,20,82,0.812
1589,2.211,2.181,1.758,1.512,1.833,1.127,2.525,2.211,3.349,2.061,3.702,1.311,1.479,1.512,1.479,1.311,1.391,0.529,9,93,0.921,10,92,0.911,11,91,0.901
1590,-2.857,-3.525,-3.505,-2.559,-3.353,-4.205,-3.953,-2.857,-3.783,-3.062,-2.568,-5.386,-3.216,-2.559,-3.216,-5.386,-4.733,-2.421,90,12,0.119,95,7,0.069,95,7,0.069
1591,-1.167,-0.595,-0.316,-1.386,-1.419,-0.529,0.497,-1.167,-0.327,-1.206,0.650,-0.467,-0.809,-1.386,-0.809,-0.467,1.298,-1.079,68,34,0.337,57,45,0.446,53,49,0.485
1592,0.865,0.956,0.996,0.299,0.901,0.151,1.462,0.865,1.902,1.073,1.484,0.468,0.855,0.299,0.855,0.468,1.527,0.117,30,72,0.713,25,77,0.762,23,79,0.782
1593,-0.082,-0.276,-0.182,-0.445,-0.508,-1.202,-0.586,-0.082,-0.726,0.013,1.915,-0.863,-1.147,-0.445,-1.147,-0.863,-0.668,1.193,47,55,0.545,50,52,0.515,50,52,0.515
1594,1.865,1.573,1.683,1.251,1.931,0.397,2.368,1.865,1.234,2.031,3.289,-0.207,1.189,1.251,1.189,-0.207,2.358,3.363,11,91,0.901,12,90,0.891,12,90,0.891
1595,-2.456,-3.051,-2.414,-2.154,-2.912,-3.587,-3.386,-2.456,-4.058,-2.060,-1.710,-5.133,-3.532,-2.154,-3.532,-5.133,-4.578,1.694,86,16,0.158,89,13,0.129,88,14,0.139
1596,-0.178,0.449,1.206,-0.053,-0.223,1.325,2.170,-0.178,0.158,0.116,1.115,-0.392,0.261,-0.053,0.261,-0.392,2.603,4.936,49,53,0.525,41,61,0.604,17,85,0.842
1597,1.233,0.861,1.353,1.005,1.141,0.822,1.317,1.233,0.023,1.365,1.305,-0.458,1.047,1.005,1.047,-0.458,0.885,3.582,23,79,0.782,30,72,0.713,15,87,0.861
1598,1.784,1.285,1.602,1.358,1.472,1.173,1.691,1.784,1.355,1.447,1.938,-0.653,1.645,1.358,1.645,-0.653,1.116,2.549,12,90,0.891,19,83,0.822,13,89,0.881
1599,-1.009,-1.106,-0.773,-0.898,-0.811,-1.208,-0.969,-1.009,-1.184,-1.109,0.000,-2.769,-0.401,-0.898,-0.401,-2.769,-1.408,-0.066,64,38,0.376,69,33,0.327,64,38,0.376
1600,0.417,0.001,-0.022,0.278,0.689,0.103,0.869,0.417,-0.554,0.192,0.950,-2.933,0.191,0.278,0.191,-2.933,0.342,1.277,39,63,0.624,47,55,0.545,48,54,0.535
