QUERY: "nederlandsch schip" AND pacific AND "S.O.S." AND date within "1940-10-01 1940-12-31" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: doodenschip AND date within "1940-01-01 1940-12-31" | collection: DDD_artikel | numberOfRecords: 8 
1940/12/09 | Dagblad van Noord-Brabant | p6 | MMKB23:001991210:mpeg21:a00101 | WRAAK VAN ONSCHOTDIGEN NEGER | Tilburg University Library
1940/12/09 | Nieuwsblad van het Zuiden : dagblad met ochtend- en avond-editie | p5 | ddd:010770717:mpeg21:a0089 | Wraak van onschuldigen neger. | Koninklijke Bibliotheek C 1123
1940/10/10 | De Telegraaf | p2 | ddd:110579255:mpeg21:a0124 | RUSTELOZE WRAKKEN. | KB C 98
1940/11/01 | Signaal | p2 | ddd:010492950:mpeg21:a0011 | Mei de torpedomotorbooten in het Kanaal Door PK. Kiaulehn | NIOD per.1095
1940/11/23 | De Volkskrant | p | ABCDDD:010845537:mpeg21:a0129 | De Vliegende Hollander Ons zeevolk vertegenwoordigt de natie | Koninklijke Bibliotheek
1940/11/05 | Utrechtsche courant | p1 | MMUTRA04:253352108:mpeg21:a00006 | Hedendaagsche spoken bedienen zich van auto's. | Het Utrechts Archief
1941/01/04 | Nieuwe Utrechtsche courant | p7 | MMUTRA04:253399080:mpeg21:a00071 | De Vliegende Hollander | Het Utrechts Archief
1940/11/15 | De Telegraaf | p2 | ddd:110578395:mpeg21:a0041 | TANKSCHEPEN VOOR JAPANS OLIE. | KB C 98
1940/09/25 | De Maasbode | p4 | ddd:110531095:mpeg21:a0107 | KUNSTAGENDA | KB C 61
1940/09/24 | De Maasbode | p4 | ddd:110531093:mpeg21:a0117 | KUNSTAGENDA | KB C 61

QUERY: "S.O.S." AND "stille oceaan" AND schip AND date within "1940-10-01 1940-12-31" | collection: DDD_artikel | numberOfRecords: 1 
1940/10/01 | Twentsch dagblad Tubantia en Enschedesche courant | p | MMSAEN01:000054666:mpeg21:a0013 | LAATSTE NIEUWS BINNENLAND. | Stadsarchief Enschede

QUERY: ourang AND date within "1940-01-01 1941-12-31" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: "nederlandsch vrachtschip" AND "S.O.S." AND date within "1940-10-01 1940-12-31" | collection: DDD_artikel | numberOfRecords: 0 

