QUERY: "straat malakka" | total 18870 | showing years 1947-1948 (capped at 6000)
  1947/03/03 | Trouw | p | ABCDDD:010871040:mpeg21:a0096 | SCHEEPSBEWEGINGEN. Groote vaart.
  1947/01/25 | Trouw | p | ABCDDD:010871101:mpeg21:a0137 | Scheepsbewegingen
  1948/11/22 | Trouw | p | ABCDDD:010870547:mpeg21:a0035 | GROTE VAART.
  1947/02/15 | Trouw | p | ABCDDD:010871119:mpeg21:a0129 | Scheepvaart SCHEEPSBEWEGINGEN.
  1947/03/26 | Trouw | p | ABCDDD:010871125:mpeg21:a0151 | GROOTE VAART.
  1947/04/11 | Trouw | p | ABCDDD:010871138:mpeg21:a0110 | GROOTE VAART.
  1947/03/10 | Trouw | p | ABCDDD:010871046:mpeg21:a0114 | SCHEEPSBEWEGINGEN. GROOTE VAART.
  1947/03/21 | Trouw | p | ABCDDD:010871055:mpeg21:a0108 | GROOTE VAART.
  1947/01/20 | Trouw | p | ABCDDD:010871096:mpeg21:a0096 | SCHEEPSBEWEGINGEN. GROOTE VAART.
  1947/01/18 | Trouw | p | ABCDDD:010871095:mpeg21:a0069 | Scheepsbewegingen
  1947/02/05 | Trouw | p | ABCDDD:010871110:mpeg21:a0148 | Scheepvaart BINNENLANDSCHE HAVENS.
  1947/04/02 | Trouw | p | ABCDDD:010871132:mpeg21:a0098 | GROOTE VAART.
  1948/09/30 | Trouw | p | ABCDDD:010870503:mpeg21:a0119 | GROTE VAART.
  1947/08/06 | Trouw | p | ABCDDD:010871207:mpeg21:a0071 | SCHEEPVAART SCHEEPSBEWEGINGEN
  1947/08/07 | Trouw | p | ABCDDD:010871208:mpeg21:a0078 | SCHEEP8BEWEGINGEN. Grote vaart
  1947/09/15 | Trouw | p | ABCDDD:010871241:mpeg21:a0078 | SCHEEPVAART
  1947/03/03 | De Volkskrant | p | ABCDDD:010936142:mpeg21:a0069 | SCHEEPSTIJDINGEN
  1947/06/23 | Het Parool | p | ABCDDD:010830582:mpeg21:a0074 | SCHEEPSTIJDINGEN
  1947/01/25 | Het Parool | p | ABCDDD:010829509:mpeg21:a0086 | SCHEEPSTIJDINGEN
  1947/01/30 | Het Parool | p | ABCDDD:010829513:mpeg21:a0090 | SCHEEPSBERICHTEN
  1947/02/05 | Het Parool | p | ABCDDD:010829518:mpeg21:a0081 | SCHEEPSBERICHTEN.
  1947/03/21 | Het Parool | p | ABCDDD:010829556:mpeg21:a0082 | SCHEEPSTIJDINGEN
  1947/03/26 | Het Parool | p | ABCDDD:010829560:mpeg21:a0073 | SCHEEPSTIJDTNGEN
  1948/05/21 | Het Parool | p | ABCDDD:010830937:mpeg21:a0083 | SCHEEPSTIJDINGEN
  1948/05/28 | Het Parool | p | ABCDDD:010830943:mpeg21:a0102 | SCHEEPSTIJDINGEN
  1947/09/18 | Het Parool | p | ABCDDD:010835204:mpeg21:a0074 | Scheepstijdingen
  1948/01/26 | Het Parool | p | ABCDDD:010830841:mpeg21:a0142 | Familiebericht
  1948/09/29 | Trouw | p | ABCDDD:010824118:mpeg21:a0043 | GROTE VAART.
  1947/09/22 | Het Parool | p | ABCDDD:010835207:mpeg21:a0099 | Scheepsti.jdingeri
  1947/09/15 | Het Parool | p | ABCDDD:010835201:mpeg21:a0103 | Scheepstijdingen
  1947/11/07 | Het Parool | p | ABCDDD:010835247:mpeg21:a0139 | SCHEEPSTIJDINGEN
  1948/03/13 | Trouw | p | ABCDDD:010870639:mpeg21:a0171 | GROTE VAART.
  1948/06/30 | Trouw | p | ABCDDD:010870725:mpeg21:a0031 | GROTE VAART
  1948/06/26 | Trouw | p | ABCDDD:010870722:mpeg21:a0169 | GROTE VAART.
  1948/12/02 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije T | p | MMSAEN01:000071232:mpeg21:a0037 | SCHEEPSBERICHTEN. 2 Dec.
  1948/02/26 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije T | p | MMSAEN01:000067930:mpeg21:a0039 | Scheepvaartberichten.
  1948/08/23 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije T | p | MMSAEN01:000064148:mpeg21:a0028 | Scheepvaartberichten. ZATERDAG 21 AUGUSTUS.
  1948/08/23 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije T | p | MMSAEN01:000064150:mpeg21:a0020 | Scheepvaartberichten.
  1948/08/23 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije T | p | MMSAEN01:000064147:mpeg21:a0017 | Scheepvaartberichten. ZATERDAG 21 AUGUSTUS.
  1948/08/23 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije T | p | MMSAEN01:000064149:mpeg21:a0019 | Scheepvaartberichten. ZATERDAG 21 AUGUSTUS.
  1947/06/19 | Nieuwe courant | p | MMNIOD04:000100525:mpeg21:a0011 | De Java China Paketvaart Lijnen Fusie Buitenlandse Diensten
  1948/08/27 | Het nieuwsblad voor Sumatra | p3 | ddd:010474788:mpeg21:a0042 | Hechte banden tussen het communisme in Malakka en Indonesië Singapore de verbindingsschake
  1947/10/29 | Nieuwe Haarlemsche courant | p4 | MMNHA03:179233025:mpeg21:a00075 | Scheepvaartberichten
  1948/02/27 | Overijsselsch dagblad | p3 | MMKB23:001248049:mpeg21:a00076 | SCHEEPSBERICHTEN
  1948/03/25 | Overijsselsch dagblad | p3 | MMKB23:001248072:mpeg21:a00058 | SCHEEPSBERICHTEN
  1948/03/05 | Overijsselsch dagblad | p3 | MMKB23:001248055:mpeg21:a00052 | SCHEEPSBERICHTEN
  1948/12/21 | Overijsselsch dagblad | p3 | MMKB23:001253069:mpeg21:a00049 | SCHEEPSBERICHTEN
  1948/10/21 | Overijsselsch dagblad | p3 | MMKB23:001253018:mpeg21:a00043 | SCHEEPSBERICHTEN
  1948/09/30 | De Gooi- en Eemlander : nieuws- en advertentieblad | p5 | ddd:011173652:mpeg21:a0133 | SCHEEPSTIJDINGEN
  1948/12/20 | De Gooi- en Eemlander : nieuws- en advertentieblad | p4 | ddd:011155067:mpeg21:a0109 | SCHEEPSTIJDINGEN
  1947/10/03 | De Gooi- en Eemlander : nieuws- en advertentieblad | p3 | ddd:011154948:mpeg21:a0077 | SCHEEPSTIJDINGEN
  1948/02/26 | De Gooi- en Eemlander : nieuws- en advertentieblad | p3 | ddd:011173471:mpeg21:a0070 | SCHEEPSTIJDINGEN
  1948/03/25 | De Gooi- en Eemlander : nieuws- en advertentieblad | p2 | ddd:011173495:mpeg21:a0104 | SCHEEPSTIJDINGEN
  1948/06/30 | De Gooi- en Eemlander : nieuws- en advertentieblad | p3 | ddd:011173575:mpeg21:a0090 | SCHEEPSTIJDINGEN
  1947/09/11 | De Gooi- en Eemlander : nieuws- en advertentieblad | p3 | ddd:011154929:mpeg21:a0073 | SCHEEPSTIJDINGEN
  1947/08/05 | De Gooi- en Eemlander : nieuws- en advertentieblad | p4 | ddd:011154898:mpeg21:a0087 | SCHEEPSTIJDINGEN
  1947/08/06 | De Gooi- en Eemlander : nieuws- en advertentieblad | p4 | ddd:011154899:mpeg21:a0089 | SCHEEPSTIJDINGEN
  1947/12/06 | De Gooi- en Eemlander : nieuws- en advertentieblad | p4 | ddd:011155002:mpeg21:a0113 | SCHEEPSTIJDINGEN
