QUERY: "silver star" | total 1436 | showing years 1946-1960
  1955/10/14 | Emmer courant | p8 | MMGEM01:163346010:mpeg21:a00100 | Advertentie
  1952/01/28 | Zutphens dagblad voor de Graafschap en Veluwezoom | p3 | MMRAZ03:179300023:mpeg21:a00046 | Posthume Amerikaanse onderscheiding voor Nederlanders
  1951/04/30 | Het Rotterdamsch parool | p1 | MMSARO02:164877100:mpeg21:a00012 | Amerikaanse lof voor Koreadetachement
  1951/05/01 | Zutphensch dagblad voor Achterhoek en Veluwezoom | p1 | MMRAZ03:179298101:mpeg21:a00011 | Amerikaanse onderscheiding voor Ned. vrijwilliger
  1952/01/29 | Eindhovensch dagblad | p6 | MMRHCE02:163603024:mpeg21:a00093 | In de officierscantine van de Prins Hendrikkazerne te Nijmegen heeft de Amerikaanse
  1952/01/30 | De Gooi- en Eemlander | p4 | MMGAGM01:234887025:mpeg21:a00069 | Gisteren werd op de Amerikaanse Ambassade te Den Haag aan de moeder
  1952/01/31 | Provinciale Drentsche en Asser courant | p5 | MMKB23:001559026:mpeg21:a00064 | Op de Amerikaanse ambassade te Den Haag werd aan de moeder van wijlen
  1951/05/01 | Deventer dagblad | p1 | MMHCO02:163904001:mpeg21:a00011 | Amerikaanse onderscheiding voor Ned. vrijwilliger
  1951/04/30 | Nieuw Utrechtsch dagblad | p1 | MMKB27:017775100:mpeg21:a00009 | Amerikaanse lof voor Koreadetachement
  1952/01/28 | Deventer dagblad | p6 | MMHCO02:163906023:mpeg21:a00111 | Posthume Amerikaanse onderscheiding voor Nederlanders
  1957/08/20 | Amigoe di Curacao : weekblad voor de Curacaosche eilanden | p6 | ddd:010988562:mpeg21:a0095 | Basketball Bond houdt bingo-avond
  1951/03/02 | De Tĳd : godsdienstig-staatkundig dagblad | p1 | ddd:011201955:mpeg21:a0015 | U.S. Silver Star Overste Den Ouden posthuum geëerd
  1951/08/14 | De Tĳd : godsdienstig-staatkundig dagblad | p8 | ddd:011202658:mpeg21:a0153 | Nederlanders in Korea weer onderscheiden
  1957/08/20 | Amigoe di Curacao | p | KBDDD02:000211043:mpeg21:a0066 | Basketball Bond houdt bingo-avond
  1951/05/01 | Trouw | p | ABCDDD:010819589:mpeg21:a0047 | Amerikaanse onderscheiding voor Nederl. Korea-strijder
  1954/03/19 | De nieuwsgier | p2 | ddd:010478001:mpeg21:a0030 | Boksen in Medan
  1951/08/07 | Gereformeerd gezinsblad / hoofdred. P. Jongeling | p4 | ddd:010557946:mpeg21:a0076 | AMERIKAANSE ONDERSCHEIDINGEN VOOR NEDERLANDERS IN KOREA.
  1951/08/15 | Het nieuws : algemeen dagblad | p1 | ddd:010480763:mpeg21:a0003 | NEDERLANDSE MILITAIREN ONDERSCHEIDEN
  1951/12/01 | Provinciale Drentsche en Asser courant | p7 | MMKB23:001564132:mpeg21:a00110 | Advertentie
  1949/08/11 | Onze toekomst | p2 | ddd:011186114:mpeg21:a0005 | Advertentie
  1949/11/09 | Onze toekomst | p2 | ddd:011186122:mpeg21:a0008 | Advertentie
  1949/10/05 | Onze toekomst | p2 | ddd:011186117:mpeg21:a0005 | Advertentie
  1949/10/26 | Onze toekomst | p2 | ddd:011186120:mpeg21:a0004 | Advertentie
  1949/12/07 | Onze toekomst | p4 | ddd:011186126:mpeg21:a0014 | Advertentie
  1951/10/24 | Emmer courant | p5 | MMGEM01:163338050:mpeg21:a00091 | – Bij de dienst van Sociale Zaken
  1958/01/14 | Emmer courant | p12 | MMGEM01:163355011:mpeg21:a00119 | Advertentie
  1956/07/25 | Emmer courant | p5 | MMGEM01:163349018:mpeg21:a00068 | Advertentie
  1951/04/30 | Het vaderland | p7 | MMKB19:000829025:mpeg21:a00066 | Het Ned. detachement naar de achterhoede
  1951/08/14 | De Telegraaf | p1 | ddd:011140160:mpeg21:a0025 | Onderscheidingen
