QUERY: "krampachtige houding" AND date within "1947-06-01 1949-12-31" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: "marshall eilanden" AND date within "1948-01-01 1948-04-30" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: "marshall-eilanden" AND date within "1948-01-01 1948-04-30" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: elsevier AND "raadsel van de zee" | collection: DDD_artikel | numberOfRecords: 1 
1948/01/24 | Leekster courant | p1 | MMRHCG04:235133008:mpeg21:a00006 | MYSTERIE, DAT DE ZEE NIMMER ZAL PRIJSGEVEN. | Groninger archieven
1948/11/27 | De locomotief : Samarangsch handels- en advertentie-blad | p1 | ddd:010863106:mpeg21:a0018 | Korte berichten van overal | Koninklijk Instituut voor de Tropen (KIT
1948/01/24 | Leekster courant | p1 | MMRHCG04:235133008:mpeg21:a00006 | MYSTERIE, DAT DE ZEE NIMMER ZAL PRIJSGEVEN. | Groninger archieven
1948/10/06 | De vrije pers : ochtendbulletin | p1 | ddd:011209950:mpeg21:a0025 | Kort Nieùws BUITENLAND | Koninklijke Bibliotheek NBM C 1136
1948/08/17 | De Noord-Ooster | p | MMVEEN01:000085178:mpeg21:a0032 | Kalme Hartjesdag in de Hoofdstad | Veenkoloniaal Museum
1947/07/28 | Het dagblad : uitgave van de Nederlandsche Dagbladpers te Batavia | p1 | ddd:010897507:mpeg21:a0009 | Terreur tegen Chinezen nog steeds voortgezet Bevolking keert naar de desa's terug P.T.T.-z | Universiteitsbibliotheek Leiden S 9462
1947/07/30 | Helmondsche courant | p | MMRHCE01:000048847:mpeg21:a0019 | India's verzoek aan de Veiligheidsraad Zoekt Sjahrir contact met Nederlands gezant? | Regionaal Historisch Centrum Eindhoven
1948/09/09 | Nieuwe courant | p | MMNIOD04:000095563:mpeg21:a0017 | Kort Nieuws INDONESIë | NIOD Instituut voor Oorlogs-, Holocaust-
1947/09/13 | Deventer dagblad | p1 | MMHCO02:163893065:mpeg21:a00002 | Batavia begint te weifelen | Historisch Centrum Overijssel
1948/08/14 | Het nieuwsblad voor Sumatra | p2 | ddd:010474777:mpeg21:a0033 | In den Hoek Onthullingen. | KB C 937
1948/11/25 | Het nieuwsblad voor Sumatra | p3 | ddd:010474851:mpeg21:a0043 | Karte Krabbels | KB C 937
1948/12/18 | Gereformeerd gezinsblad / hoofdred. P. Jongeling | p7 | ddd:010553924:mpeg21:a0036 | KORT NIEUWS | Nederlands Dagblad
1947/08/29 | Het dagblad : uitgave van de Nederlandsche Dagbladpers te Batavia | p4 | ddd:010897534:mpeg21:a0088 | Advertentie | Universiteitsbibliotheek Leiden S 9462
1948/12/03 | De locomotief : Samarangsch handels- en advertentie-blad | p1 | ddd:010863111:mpeg21:a0016 | Korte berichten van overal | Koninklijk Instituut voor de Tropen (KIT
1947/07/24 | De Maasbode | p1 | MMKB15:000549021:mpeg21:a00001 | GEHEEL OOST-JAVA AFGESNEDEN | Koninklijke Bibliotheek
