QUERY: "orang medan" | collection: DDD_artikel | numberOfRecords: 8 
1866/07/18 | Le courrier de la Meuse | p1 | MMCC01:048240166:mpeg21:a00006 | Le siége de la Diète germanique vient | Centre Céramique
1964/06/12 | Het Rotterdamsch parool | p19 | MMSARO03:259030035:mpeg21:a00279 | Advertentie | Stadsarchief Rotterdam
1953/04/07 | Algemeen Handelsblad | p | KBNRC01:000042684:mpeg21:a0107 | Selectie van N.-Hollanders voor Ned. twaalftal | Koninklijke Bibliotheek
1939/06/13 | De Telegraaf | p5 | ddd:110579409:mpeg21:a0230 | DE HENLEY-WEDSTRIJDEN. | KB C 98
1939/07/09 | Algemeen Handelsblad | p19 | ddd:010664962:mpeg21:a0196 | ROEIEN HARVARD WINT DE GRAND CHALLENGE Ook op Henley zegeviert Amerika en scoort de „hattr | KB C 21
1986/05/15 | Nederlands dagblad : gereformeerd gezinsblad / hoofdred. P. Jongeling ... [et al.] | p1 | ddd:010569980:mpeg21:a0001 | Deel directie PTT mag naar Groningen | Nederlands Dagblad
1929/01/31 | Het Vaderland : staat- en letterkundig nieuwsblad | p3 | ddd:010011997:mpeg21:a0081 | TREILVISSCHERIJ. | KB NBM C 44 [Microfilm]
1941/04/23 | De banier : staatkundig gereformeerd dagblad | p1 | ddd:010850572:mpeg21:a0029 | Plymouth andermaal gebombardeerd | SGP-Bureau
1931/10/07 | Nieuwe Utrechtsche courant | p7 | MMUTRA04:253388006:mpeg21:a00097 | VISSCHERIJ | Het Utrechts Archief
1963/12/11 | De Gooi- en Eemlander | p7 | MMGAGM01:234865062:mpeg21:a00090 | Amsterdam verloor van een Russisch selectieteam | Gemeentearchief Gooise Meren en Huizen
1897/05/13 | Bredasche courant | p3 | MMSAB05:259494090:mpeg21:a00008 | Advertentie | Stadsarchief Breda
1934/01/11 | Rotterdamsch nieuwsblad | p4 | MMKB32:164669012:mpeg21:a00026 | Advertentie | Koninklijke Bibliotheek
1982/09/24 | Trouw | p | ABCDDD:010818921:mpeg21:a0125 | Advertentie | Koninklijke Bibliotheek
1939/07/17 | De Sumatra post | p6 | ddd:010382948:mpeg21:a0141 | Buitenlandsche successen te Henley. | KB 1634 C1
1948/02/28 | De locomotief : Samarangsch handels- en advertentie-blad | p2 | ddd:010862918:mpeg21:a0033 | Ondergang der „Ourang Medan” „Voor het Eerst Werd ik Bang” De Enige Overlevende, Silvio Sc | Koninklijk Instituut voor de Tropen (KIT
1948/03/13 | De locomotief : Samarangsch handels- en advertentie-blad | p2 | ddd:010862945:mpeg21:a0038 | S.O.S, | Koninklijk Instituut voor de Tropen (KIT
1939/07/11 | Het nieuws van den dag voor Nederlandsch-Indië | p5 | ddd:010227243:mpeg21:a0047 | Buitenlandsche successen te tHenley | KB C55
1907/06/29 | Nieuwe Groninger courant | p1 | MMRHCG04:235115193:mpeg21:a00001 | Advertentie | Groninger archieven

QUERY: "silvio scherli" | collection: DDD_artikel | numberOfRecords: 2 
1948/02/28 | De locomotief : Samarangsch handels- en advertentie-blad | p2 | ddd:010862918:mpeg21:a0033 | Ondergang der „Ourang Medan” „Voor het Eerst Werd ik Bang” De Enige Overlevende, Silvio Sc | Koninklijk Instituut voor de Tropen (KIT
1948/03/13 | De locomotief : Samarangsch handels- en advertentie-blad | p2 | ddd:010862945:mpeg21:a0038 | S.O.S, | Koninklijk Instituut voor de Tropen (KIT

QUERY: silverstar | collection: DDD_artikel | numberOfRecords: 3813 
1910/11/25 | Het nieuws van den dag voor Nederlandsch-Indië | p3 | ddd:010135295:mpeg21:a0021 | Tweede Dag. | KB C55
1938/10/01 | Deli courant | p8 | MMKB15:000139001:mpeg21:a00060 | Advertentie | Koninklijke Bibliotheek
1953/10/24 | 't Nieuws voor Kampen | p4 | MMSAK01:164713100:mpeg21:a00060 | NUNSPEET Deel van huis uitgebrand | Stadsarchief Kampen
1911/09/27 | Het nieuws van den dag voor Nederlandsch-Indië | p14 | ddd:010136131:mpeg21:a0123 | Advertentie | KB C55
1911/07/15 | Het nieuws van den dag voor Nederlandsch-Indië | p18 | ddd:010136014:mpeg21:a0123 | Advertentie | KB C55
1956/01/05 | Amigoe di Curacao : weekblad voor de Curacaosche eilanden | p1 | ddd:010404780:mpeg21:a0010 | Vertraagde „Silverstar” komt zaterdag aan | KB C 251
1955/03/05 | Amigoe di Curacao : weekblad voor de Curacaosche eilanden | p2 | ddd:010404530:mpeg21:a0021 | Winkels open op Zondag | KB C 251
1910/11/25 | Het nieuws van den dag voor Nederlandsch-Indië | p3 | ddd:010135295:mpeg21:a0020 | Eerste Dag. | KB C55
1945/08/08 | Het parool | p | MMNIOD05:000143299:mpeg21:a0023 | Advertentie | NIOD Instituut voor Oorlogs-, Holocaust-
1930/12/12 | Nieuwsblad van het Noorden | p2 | ddd:010674772:mpeg21:a0041 | Een oud-stadgenoot en zilvervossen. | KB C 588
1927/10/20 | De locomotief | p3 | MMKB23:001706125:mpeg21:a00030 | Gemengd Nieuws AANVARING. „Sembilan” en „Silverstar". – Een koelie gedood. | Universitaire Bibliotheken Leiden
1953/06/16 | Winschoter courant | p2 | MMRHCG03:163551038:mpeg21:a00052 | BEERTA | Groninger archieven
