QUERY: kortegolfzenders AND date within "1947-06-01 1948-12-31" | collection: DDD_artikel | numberOfRecords: 79 
1930/06/25 | Nieuwe provinciale Groninger courant | p1 | MMRHCG04:234995147:mpeg21:a00005 | ENGELAND. | Groninger archieven
1936/10/10 | Leeuwarder nieuwsblad : goedkoop advertentieblad | p1 | ddd:010743664:mpeg21:a0083 | Ken onderbond met den gezagvoerder. | Tresoar
1926/08/29 | De avondpost | p2 | MMKB27:017900103:mpeg21:a00036 | RADIO-ALLERLEI | Koninklijke Bibliotheek
1946/09/23 | Algemeen Dagblad | p5 | MMSARO03:259000122:mpeg21:a00053 | Ons kuststation als politie voor radioverkeer Scheveningen-Radio is een der drukste statio | Stadsarchief Rotterdam
1921/10/08 | Amigoe di Curacao : weekblad voor de Curacaosche eilanden | p3 | ddd:010280590:mpeg21:a0021 | Correspondentie van Aruba. De Draadlooze op Aruba. | KB C 251
1937/02/22 | Nieuwsblad van het Noorden | p10 | ddd:010673425:mpeg21:a0190 | LUCHTVAART De radip-verbinding met vliegtuigen Nieuwe korte golf-installatie van rijksberi | KB C 65
1936/10/10 | De standaard | p4 | MMKB23:001882009:mpeg21:a00041 | Gemengd Nieuws. De brand op de „Marnix". Een onderhoud met den gezagvoerder. | Universiteitsbibliotheek Vrije Universit
1937/03/05 | Algemeen handelsblad voor Nederlandsch-Indië | p10 | MMKB19:000472054:mpeg21:a00128 | Radio op de Indië-lijn der K. L. M. | Koninklijke Bibliotheek
1936/10/12 | Nieuwe Tilburgsche Courant | p5 | ddd:010237668:mpeg21:a0090 | DE „MARNIX" IN VEILIGE HAVEN KAPITEIN POTJER VERTELT VAN DEN BRAND Van paniek-stemming gee | KB C1115
1936/10/23 | Nieuwe Harlinger courant | p9 | MMTRES04:211324085:mpeg21:a00072 | Spanning op de Noordzee. | Tresoar
1936/10/10 | De Volkskrant | p8 | MMKB12:000171035:mpeg21:a00088 | De brand op de Marnix van St. Aldegonde Het schip te Genua aangekomen EEN ONDERHOUD MET DE | Koninklijke Bibliotheek
1932/10/31 | Rotterdamsch nieuwsblad | p18 | MMKB32:164661068:mpeg21:a00177 | Koloniën. | Koninklijke Bibliotheek
1936/10/10 | Rotterdamsch nieuwsblad | p14 | MMKB32:164685035:mpeg21:a00143 | De brand in de Marnix van St. Aldegonde. | Koninklijke Bibliotheek
1937/03/03 | Soerabaijasch handelsblad | p2 | ddd:011110385:mpeg21:a0144 | Radin-verbinding met vliegtuigen. Nieuwe korte golf-inetallatie van RijkgberichteiMli«iMt  | Koninklijke Bibliotheek C 64
1926/08/27 | Het Vaderland : staat- en letterkundig nieuwsblad | p3 | ddd:010010493:mpeg21:a0058 | Een en ander over de ontwikkeling  der zendtechniek.  I. RADIO-NIEUWS | KB NBM C 44 [Microfilm]
1936/10/20 | De Sumatra post | p5 | ddd:010382510:mpeg21:a0127 | Een onderhoud met den gezagvoerder. | KB 1634 C1
1936/10/10 | Nieuwsblad van het Noorden | p6 | ddd:010673313:mpeg21:a0199 | De brand op de Marnix van St. Aldegonde Het schip te Genua aangekomen Een onderhoud met de | KB C 65
1937/02/20 | De avondpost | p6 | MMKB27:017939083:mpeg21:a00076 | LUCHTVAART Radio op de Indië-lijn Nieuwe korte-golfinstallatie van den Rijksberichtendiens | Koninklijke Bibliotheek
1936/10/10 | De banier : staatkundig gereformeerd dagblad | p4 | ddd:010854925:mpeg21:a0064 | DE BRAND OP DE MARNIX. Het schip te Genua aangekomen. Een onderhoud met den gezagvoerder.  | SGP-Bureau
1936/10/10 | De Zaanlander | p | MMGAZS01:000148059:mpeg21:a00005 | De Brand op de Marnix van St. Aldegonde. | Gemeentearchief Zaanstad
1948/10/01 | De Zaanlander | p | MMGAZS01:000107001:mpeg21:a00005 | „Hallo, hier Schevenin gen-Radio!” „Liefste. In volle zee. Denk veel aan je" Noodseinen op | Gemeentearchief Zaanstad
1930/06/25 | Delftsche courant | p | MMKB08:000075264:mpeg21:a0007 | Telegrammen De „Southern Cross" over den Oceaan. De tocht naar Amerika, met Evert van Dijk | Gemeentearchief Delft
1936/10/10 | Twentsch dagblad Tubantia en Enschedesche courant | p | MMSAEN01:000053569:mpeg21:a0092 | BINNENLAND. De brand op de Marnix van St. Aldegonde. | Stadsarchief Enschede
1936/10/10 | Arnhemsche courant | p | MMKB08:000109980:mpeg21:a0095 | GEMENGD NIEUWS BRAND OP HET S.S. „EK". | Koninklijke Bibliotheek
1936/10/10 | Delftsche courant | p | MMKB08:000077116:mpeg21:a0020 | Gemengd Nieuws De brand op de „Marnix". DANK VAN DE PASSAGIERS. | Gemeentearchief Delft
1937/02/22 | Nieuwe Venlosche courant | p | MMGAVL01:000016991:mpeg21:a0064 | Radio RADIO-VERBINDING MET VLIEGTUIGEN | Gemeentearchief Venlo
1933/02/13 | Provinciale Overijsselsche en Zwolsche courant | p | MMHCO01:000086450:mpeg21:a0030 | De Zeven Provinciën Zesmaal gesommeerd. | Historisch Centrum Overijssel
1936/10/10 | De Tĳd : godsdienstig-staatkundig dagblad | p10 | ddd:010540892:mpeg21:a0199 | Na den brand op de Marnix ONDERHOUD MET DEN KAPITEIN Na de ontdekking van het vuur werden  | KB C 236
1930/06/25 | De Tĳd : godsdienstig-staatkundig dagblad | p5 | ddd:010532230:mpeg21:a0080 | LUCHTVAART. DE „SOUTHERN CROSS" OP NEW-FOUNDLAND GEDAALD MIST EN BENZINEGEBREK NOOPTEN TOT | KB C 236
1937/02/20 | De Tĳd : godsdienstig-staatkundig dagblad | p6 | ddd:010538429:mpeg21:a0130 | Radio-verbindingen op de Indië-lijn GROOTE VERBETERING Door de korte-golf zenders blijven  | KB C 236
1936/10/12 | Limburgsch dagblad | p9 | ddd:010934866:mpeg21:a0179 | DE BRAND OP DE MARNIX VAN ST. ALDEGONDE. Het schip te Genua aangekomen. — Een onderhoud me | Koninklijke Bibliotheek C 101
1936/10/10 | Nieuwe Haarlemsche courant | p9 | MMNHA03:179118018:mpeg21:a00106 | Na den brand op de Marnix | Noord-Hollands Archief
1937/02/20 | Nieuwe Haarlemsche courant | p6 | MMNHA03:179168035:mpeg21:a00080 | Radio-verbindingen op de Indië-lijn | Noord-Hollands Archief
1936/10/12 | Nieuwe Tilburgsche Courant | p5 | ddd:010996606:mpeg21:a0100 | DE „MARNIX” IN VEILIGE HAVEN KAPITEIN POTJER VERTELT VAN DEN BRAND Van paniek-stemming gee | Koninklijke Bibliotheek C1115
1936/10/12 | De Limburger | p9 | MMKB23:001229085:mpeg21:a00157 | DE BRAND OP DE MARNIX VAN ST. ALDBGONDE. Het schip te Genua aangekomen. Een onderhoud met  | Archief De Domijnen

QUERY: "600-meterband" | collection: DDD_artikel | numberOfRecords: 6 
1951/11/28 | Het nieuwsblad voor Sumatra | p3 | ddd:010476200:mpeg21:a0073 | Scheveningen-Radio: betrouwbare gids in storm en duisternis | KB C 937
1951/11/15 | Trouw | p | ABCDDD:010819292:mpeg21:a0009 | VOLGENDE WEEK IN NIEUW TEHUIS Scheveningen Radio: betrouwbare gids in storm en duisternis  | Koninklijke Bibliotheek
1948/02/03 | De locomotief : Samarangsch handels- en advertentie-blad | p3 | ddd:010862872:mpeg21:a0050 | Een Mysterie van de Zee Krampachtige Houding der Doden De Raadselachtige Ondergang van de  | Koninklijk Instituut voor de Tropen (KIT
1948/01/24 | Leekster courant | p1 | MMRHCG04:235133008:mpeg21:a00006 | MYSTERIE, DAT DE ZEE NIMMER ZAL PRIJSGEVEN. | Groninger archieven
1979/09/07 | NRC Handelsblad | p | KBNRC01:000026643:mpeg21:a0115 | Nederlands kuststation schrijft geschiedenis Veiligheid op zee is eerste taak van nu 75-ja | Koninklijke Bibliotheek
1958/08/27 | Het vrĳe volk : democratisch-socialistisch dagblad | p9 | ddd:010953206:mpeg21:a0206 | ZWARTWATER door H. L. TREDREE | Gemeentearchief Rotterdam

QUERY: noodzender AND date within "1948-01-01 1948-03-31" | collection: DDD_artikel | numberOfRecords: 6 
1948/02/24 | Het vrĳe volk : democratisch-socialistisch dagblad | p1 | ddd:010949468:mpeg21:a0026 | Dit jaar gevecht om de golflengten | Gemeentearchief Rotterdam
1948/02/20 | De Gooi- en Eemlander : nieuws- en advertentieblad | p2 | ddd:011173466:mpeg21:a0029 | Frequentie Modulatie Oplossing voor probleem van de golflengten Storingsvrije uitzendingen | Koninklijke Bibliotheek MM03C-101548
1948/02/10 | De Nederlandsche transportcourant | p4 | MMKB19:003646034:mpeg21:a00032 | SCHEEPVAARTNIEUWS IN HET KORT | Koninklijke Bibliotheek
1948/02/23 | Nieuwsblad van het Zuiden | p1 | MMKB19:000614045:mpeg21:a00015 | Frequentie modulatie een uitkomst? | Koninklijke Bibliotheek
1948/02/25 | Nieuwsblad voor de Hoeksche Waard en IJselmonde | p3 | MMMHW01:001051024:mpeg21:a00012 | Zelfs de fiscus ... | Museum Hoeksche Waard
1948/01/24 | Leekster courant | p1 | MMRHCG04:235133008:mpeg21:a00006 | MYSTERIE, DAT DE ZEE NIMMER ZAL PRIJSGEVEN. | Groninger archieven

QUERY: kaartenkamer AND dood AND date within "1948-01-01 1948-03-31" | collection: DDD_artikel | numberOfRecords: 1 
1948/01/24 | Leekster courant | p1 | MMRHCG04:235133008:mpeg21:a00006 | MYSTERIE, DAT DE ZEE NIMMER ZAL PRIJSGEVEN. | Groninger archieven

QUERY: "hoofdmachinist dood" | collection: DDD_artikel | numberOfRecords: 1 
1948/01/24 | Leekster courant | p1 | MMRHCG04:235133008:mpeg21:a00006 | MYSTERIE, DAT DE ZEE NIMMER ZAL PRIJSGEVEN. | Groninger archieven

QUERY: "muiterij op de bounty" AND date within "1947-01-01 1949-12-31" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: bounty AND medan | collection: DDD_artikel | numberOfRecords: 99 
1936/08/03 | De Sumatra post | p7 | ddd:010384002:mpeg21:a0042 | Advertentie | KB 1634 C1
1936/07/30 | De Sumatra post | p3 | ddd:010383999:mpeg21:a0030 | Advertentie | KB 1634 C1
1936/08/06 | De Sumatra post | p16 | ddd:010384005:mpeg21:a0043 | Advertentie | KB 1634 C1
1950/07/29 | Het nieuwsblad voor Sumatra | p2 | ddd:010476494:mpeg21:a0023 | Films te Medan Zaterdag 29 Juli | KB C 937
1950/08/03 | Het nieuwsblad voor Sumatra | p2 | ddd:010476498:mpeg21:a0046 | Films te Medan Donderdag 3 Aug. | KB C 937
1950/08/01 | Het nieuwsblad voor Sumatra | p2 | ddd:010476496:mpeg21:a0039 | Films te Medan Dinsdag 1 Augustus | KB C 937
1950/07/31 | Het nieuwsblad voor Sumatra | p2 | ddd:010476495:mpeg21:a0032 | Films te Medan Maandag 31 Juli. | KB C 937
1950/08/04 | Het nieuwsblad voor Sumatra | p2 | ddd:010476499:mpeg21:a0048 | Films te Medan Vrijdag 4 Aug. | KB C 937
1937/07/29 | Deli courant | p8 | MMKB15:000122025:mpeg21:a00044 | Advertentie | Koninklijke Bibliotheek
1950/07/28 | Het nieuwsblad voor Sumatra | p4 | ddd:010476493:mpeg21:a0044 | Advertentie | KB C 937
1950/07/28 | Het nieuwsblad voor Sumatra | p2 | ddd:010476493:mpeg21:a0030 | Films te Medan Vrijdag 28 Juli | KB C 937
1936/07/11 | De Sumatra post | p14 | ddd:010383983:mpeg21:a0066 | Advertentie | KB 1634 C1
1937/07/29 | De Sumatra post | p8 | ddd:010382131:mpeg21:a0040 | Advertentie | KB 1634 C1
1937/07/21 | De Sumatra post | p8 | ddd:010382124:mpeg21:a0033 | Advertentie | KB 1634 C1
1936/09/05 | Deli courant | p11 | MMKB15:000134057:mpeg21:a00069 | AGENDA | Koninklijke Bibliotheek
1936/08/01 | Deli courant | p11 | MMKB15:000134028:mpeg21:a00075 | AGENDA | Koninklijke Bibliotheek
1939/08/11 | Deli courant | p8 | MMKB15:000130035:mpeg21:a00051 | Advertentie | Koninklijke Bibliotheek
1939/01/06 | Deli courant | p28 | MMKB15:000136005:mpeg21:a00169 | Advertentie | Koninklijke Bibliotheek
1937/07/21 | Deli courant | p8 | MMKB15:000122018:mpeg21:a00057 | Advertentie | Koninklijke Bibliotheek
1936/07/31 | Deli courant | p8 | MMKB15:000134027:mpeg21:a00042 | Advertentie | Koninklijke Bibliotheek
1957/01/04 | De Gooi- en Eemlander | p4 | MMGAGM01:234892003:mpeg21:a00070 | Het tweede in ons land Zelf koken in motel bij rotonde-Breda | Gemeentearchief Gooise Meren en Huizen
1952/06/09 | Het nieuwsblad voor Sumatra | p4 | ddd:010476653:mpeg21:a0083 | FILMS TE MEDAN Maandag, 9 Juni | KB C 937
1936/04/25 | Deli courant | p2 | MMKB15:000126020:mpeg21:a00006 | DELI BIOSCOOP | Koninklijke Bibliotheek
1939/01/05 | Deli courant | p8 | MMKB15:000136004:mpeg21:a00060 | Advertentie | Koninklijke Bibliotheek
1937/07/19 | Deli courant | p8 | MMKB15:000122016:mpeg21:a00047 | Advertentie | Koninklijke Bibliotheek
1937/07/19 | De Sumatra post | p8 | ddd:010382122:mpeg21:a0031 | Advertentie | KB 1634 C1
1939/08/11 | De Sumatra post | p8 | ddd:010382969:mpeg21:a0030 | Advertentie | KB 1634 C1
1954/01/13 | Java-bode : nieuws, handels- en advertentieblad voor Nederlandsch-Indie | p3 | ddd:010861698:mpeg21:a0066 | Advertentie | Koninklijk Instituut voor de Tropen (KIT
1929/03/27 | De Sumatra post | p6 | ddd:010970401:mpeg21:a0027 | Advertentie | Koninklijke Bibliotheek 1634 C1
1949/01/18 | Nieuwe provinciale Groninger courant | p3 | MMRHCG04:235026014:mpeg21:a00046 | Waar zijn onze schepen? | Groninger archieven
1948/01/24 | Leekster courant | p1 | MMRHCG04:235133008:mpeg21:a00006 | MYSTERIE, DAT DE ZEE NIMMER ZAL PRIJSGEVEN. | Groninger archieven
1936/12/19 | De Sumatra post | p8 | ddd:010382561:mpeg21:a0051 | Advertentie | KB 1634 C1
1929/03/25 | De Sumatra post | p2 | ddd:010970399:mpeg21:a0150 | Advertentie | Koninklijke Bibliotheek 1634 C1
1939/01/07 | De Sumatra post | p8 | ddd:010382575:mpeg21:a0051 | Advertentie | KB 1634 C1
1937/07/22 | Deli courant | p8 | MMKB15:000122019:mpeg21:a00051 | Advertentie | Koninklijke Bibliotheek
1933/03/24 | La gazette de Hollande | p4 | MMKB19:000922114:mpeg21:a00017 | Medant the Capital of Deli. | Koninklijke Bibliotheek
1936/09/25 | Deli courant | p8 | MMKB15:000134073:mpeg21:a00045 | Advertentie | Koninklijke Bibliotheek
1936/10/15 | Deli courant | p8 | MMKB15:000129013:mpeg21:a00045 | Advertentie | Koninklijke Bibliotheek
1936/10/16 | Deli courant | p8 | MMKB15:000129014:mpeg21:a00046 | Advertentie | Koninklijke Bibliotheek
1940/09/23 | De Sumatra post | p8 | ddd:011177273:mpeg21:a0037 | Advertentie | Koninklijk Instituut voor de Tropen (KIT
1937/01/06 | Bataviaasch nieuwsblad | p8 | ddd:011074518:mpeg21:a0084 | Advertentie | Koninklijke Bibliotheek C 96
1936/12/14 | De Sumatra post | p8 | ddd:010382557:mpeg21:a0059 | Advertentie | KB 1634 C1
1936/12/22 | De Sumatra post | p13 | ddd:010382563:mpeg21:a0055 | Advertentie | KB 1634 C1
1936/12/12 | De Sumatra post | p8 | ddd:010382556:mpeg21:a0061 | Advertentie | KB 1634 C1
1939/08/12 | De Sumatra post | p8 | ddd:010382970:mpeg21:a0041 | Advertentie | KB 1634 C1
1939/01/13 | De Sumatra post | p8 | ddd:010382580:mpeg21:a0034 | Advertentie | KB 1634 C1
1939/08/02 | De Sumatra post | p8 | ddd:010382962:mpeg21:a0029 | Advertentie | KB 1634 C1
1954/02/13 | De nieuwsgier | p2 | ddd:010477968:mpeg21:a0034 | Film De maatschappij met de leeuw bestaat dertig jaar | KB C 244
1949/01/24 | Nieuwe provinciale Groninger courant | p3 | MMRHCG04:235026019:mpeg21:a00052 | Waar zijn onze schepen ? | Groninger archieven
1947/12/22 | Nieuwe provinciale Groninger courant | p3 | MMRHCG04:235023149:mpeg21:a00049 | Waar zijn onze scha pen? | Groninger archieven

QUERY: titanic AND medan AND date within "1947-01-01 1949-12-31" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: marshalleilanden AND date within "1948-01-01 1948-04-30" | collection: DDD_artikel | numberOfRecords: 5 
1948/03/13 | De locomotief : Samarangsch handels- en advertentie-blad | p2 | ddd:010862945:mpeg21:a0042 | Einde | Koninklijk Instituut voor de Tropen (KIT
