id	play_index	play_title	n_segments	n_words	n_verse_lines	n_prose_words
A27178	34	Loves Cure, or the Martial Maid A COMEDY.	17	19517	2316	3443
A27178	35	WOMEN PLEAS'D A TRAGY-COMEDY.	20	20320	2656	314
A27178	36	THE NIGHT-WALKER, OR THE LITTLE THIEF. A Comedy.	5	19547	2654	390
A27178	37	THE WOMANS PRIZE, OR THE TAMER TAM'D. A Comedy.	23	22540	3238	609
A27178	38	THE ISLAND PRINCESS; A Tragi-Comedy.	5	22311	3008	0
A27178	39	THE NOBLE GENTLEMAN. A Comedy.	5	18761	2551	95
A27178	40	THE CORONATION. A Comedy.	5	15903	2452	0
A27178	41	THE COXCOMB. A Comedy.	5	20582	1027	12708
A27178	42	THE SEA-VOYAGE. A Comedy.	5	16765	2408	0
A27178	43	Wit at several weapons. A COMEDY.	5	22493	2302	5253
A27178	44	The Fair Maid of the Inn. A TRAGI-COMEDY.	5	20409	2390	3951
A27178	45	CUPIDS REVENGE	5	20499	1861	6263
A27178	46	The Two Noble Kinsmen.	24	22947	3099	517
A27178	47	THE TRAGEDY OF Thierry and Theodoret.	6	18172	2225	2346
A27178	48	The Woman-Hater.	13	22179	833	15805
A27178	49	NICE VALOUR. A Comedy.	7	14190	1957	0
A27178	50	The Honest Man's Fortune. A TRAGI-COMEDY.	5	22336	1904	8373
A27178	51	THE MASQUE of the Gentlemen OF GRAYS-INNE and the INNER-TEMPLE; Perfor	1	1267	166	0
A27178	52	Four PLAYS in One.	1	0	0	0
A27178	53	FOUR PLAYS OR Moral Representations IN ONE.	1	19819	2462	2131
A27179	0	BEGGARS BUSH.	16	18896	2200	2241
A27180	0	The Tragedy OF BONDUCA	6	13608	1799	218
A27196	0	PHILASTER.	5	18440	2291	1523
A27197	0	THE PROPHETESS.	5	16523	2018	1292
A27197	1	The MASQUE.	1	1133	88	348
A27198	0	Rule a wife, and have a wife a comedy, as it is acted at the new theat	5	18237	2414	0
A27203	0	THE Wild-Goose-Chase.	16	21263	2873	0
A27204	0	Wit withovt money a comedie, as it hath been presented with good appla	5	19207	27	18990
A31538	0	The history of the valorous and vvitty-knight-errant, Don-Quixote, of 	1	204444	43	203218
A31538	1	The history of the valorous and vvitty-knight-errant, Don-Quixote, of 	1	1006	9	0
A31538	2	The Letter of DON-QUIXOTE to DULCINEA of Toboso.	1	130	0	130
A31538	3	LUSCINDA to CARDENIO.	1	81	0	81
A31538	4	The history of the valorous and vvitty-knight-errant, Don-Quixote, of 	1	168	0	168
A31538	5	The history of the valorous and vvitty-knight-errant, Don-Quixote, of 	1	144	0	144
A31538	6	The history of the valorous and vvitty-knight-errant, Don-Quixote, of 	1	110	14	0
A31538	7	The history of the valorous and vvitty-knight-errant, Don-Quixote, of 	1	115	14	0
A31538	8	The history of the valorous and vvitty-knight-errant, Don-Quixote, of 	1	65	0	65
A31538	9	The history of the valorous and vvitty-knight-errant, Don-Quixote, of 	1	113	14	0
A31538	10	The history of the valorous and vvitty-knight-errant, Don-Quixote, of 	1	109	14	0
A31538	11	The history of the valorous and vvitty-knight-errant, Don-Quixote, of 	1	299	0	299
A31538	12	The history of the valorous and vvitty-knight-errant, Don-Quixote, of 	1	233	0	233
A31538	13	The history of the valorous and vvitty-knight-errant, Don-Quixote, of 	1	226	0	226
A31538	14	The history of the valorous and vvitty-knight-errant, Don-Quixote, of 	1	520	75	0
A31538	15	The history of the valorous and vvitty-knight-errant, Don-Quixote, of 	1	192071	3	192048
A31538	16	The history of the valorous and vvitty-knight-errant, Don-Quixote, of 	1	116	14	0
A31538	17	The history of the valorous and vvitty-knight-errant, Don-Quixote, of 	1	241	8	0
A31538	18	Sancho Panca's Letter to his VVife Teresa Panca.	1	433	0	433
A31538	19	The history of the valorous and vvitty-knight-errant, Don-Quixote, of 	1	135	0	135
A31538	20	The history of the valorous and vvitty-knight-errant, Don-Quixote, of 	1	261	0	261
A31538	21	Don-Quixotes Letter to Sancho Pança, Governour
of the Island Barataria	1	758	0	758
A31538	22	Sancho Pança's Letter to Don-Quixote
de la Mancha.	1	847	0	847
A31538	23	Teresa Pança's Letter to the Duchesse.	1	512	0	512
A31538	24	Teresa Pança's Letter, to her Husband
Sancho.	1	710	0	710
A35283	0	Henry the Sixth with the murder of Humphrey, Duke of Glocester : as it	7	22745	2859	117
A35283	1	Henry the Sixth with the murder of Humphrey, Duke of Glocester : as it	13	21683	2779	121
A35283	2	Henry the Sixth with the murder of Humphrey, Duke of Glocester : as it	1	120	6	0
A35289	0	THE
MISERIES
OF
Civil-War.	6	21535	2788	0
A36513	0	THE
Sham-Lawyer:
OR, THE
LUCKY-EXTRAVAGANT.	5	25859	20	25516
A36592	0	All for love, or, The world well lost a tragedy, as it is acted at the	5	20450	2888	6
A36704	0	TRVTH found too late.
A
TRAGEDY.	11	22482	2092	6979
A36966	0	A
Common-Wealth
OF
WOMEN.	11	17652	710	12281
A36983	0	THE Unequal Match; OR THE Fatal Wager.	13	17468	1887	2943
A37025	0	Trick for Trick: OR, The Debauch'd Hypocrite.	6	13105	55	12724
A39799	0	The Chances.	28	17750	1393	8560
A39803	0	Fathers own son a comedy formerly acted at the private house in Black 	27	20707	3000	0
A39804	0	THE HUMOROUS. LIEUTENANT.	25	23801	1966	9924
A39805	0	THE Island Princess.	5	18810	2359	1574
A39806	0	THE NIGHT-WALKER: OR, THE LITTLE THIEF.	5	19580	2656	436
A39808	0	THE PILGRIM, &c.	6	17089	126	16247
A39808	1	THE Secular Masque.	1	576	98	0
A39810	0	THE TRAGEDIE OF THIERRIE AND THEODORET.	6	19187	2367	2307
A39812	0	THE TRAGEDY OF VALENTINIAN.	14	21893	2940	0
A46228	0	THE DIVELL IS AN ASSE.	36	25940	3694	0
A46230	0	The Widdow.
A
COMEDIE.	8	18663	2240	2316
A48052	0	SAUNEY the SCOT:
OR,
The Taming of the SHREW.	5	19088	35	18804
A50090	0	THE City-Madam, A COMEDIE.	16	18606	2801	153
