n,word_hyphen_split,initial_hyphen_split,word_hyphen_joined,initial_hyphen_joined
1047,free,F,nor,N
1048,people,P,have,H
1049,nor,N,we,W
1050,have,H,been,B
1051,we,W,wanting,W
1052,been,B,in,I
1053,wanting,W,attention,A
1054,in,I,to,T
1055,attention,A,our,O
1056,to,T,british,B
1057,our,O,brethren,B
1058,british,B,we,W
1059,brethren,B,have,H
1060,we,W,warned,W
1061,have,H,them,T
1062,warned,W,from,F
1063,them,T,time,T
1064,from,F,to,T
1065,time,T,time,T
1066,to,T,of,O
1067,time,T,attempts,A
1068,of,O,made,M
1069,attempts,A,by,B
1070,made,M,their,T
1071,by,B,legislature,L
1072,their,T,to,T
1073,legislature,L,extend,E
1074,to,T,an,A
1075,extend,E,unwarrantable,U
1076,an,A,jurisdiction,J
1077,unwarrantable,U,over,O
1078,jurisdiction,J,us,U
1079,over,O,we,W
1080,us,U,have,H
1081,we,W,reminded,R
1082,have,H,them,T
1083,reminded,R,of,O
1084,them,T,the,T
1085,of,O,circumstances,C
1086,the,T,of,O
1087,circumstances,C,our,O
1088,of,O,emigration,E
1089,our,O,and,A
1090,emigration,E,settlement,S
1091,and,A,here,H
1092,settlement,S,we,W
1093,here,H,have,H
1094,we,W,appealed,A
1095,have,H,to,T
1096,appealed,A,their,T
1097,to,T,native,N
1098,their,T,justice,J
1099,native,N,and,A
1100,justice,J,magnanimity,M
1101,and,A,and,A
1102,magnanimity,M,we,W
1103,and,A,have,H
1104,we,W,conjured,C
1105,have,H,them,T
1106,conjured,C,by,B
1107,them,T,the,T
1108,by,B,ties,T
1109,the,T,of,O
1110,ties,T,our,O
1111,of,O,common,C
1112,our,O,kindred,K
1113,common,C,to,T
1114,kindred,K,disavow,D
1115,to,T,these,T
1116,disavow,D,usurpations,U
1117,these,T,which,W
1118,usurpations,U,would,W
1119,which,W,inevitably,I
1120,would,W,interrupt,I
1121,inevitably,I,our,O
1122,interrupt,I,connection,C
1123,our,O,and,A
1124,connection,C,correspondence,C
1125,and,A,they,T
1126,correspondence,C,too,T
1127,they,T,have,H
1128,too,T,been,B
1129,have,H,deaf,D
1130,been,B,to,T
1131,deaf,D,the,T
1132,to,T,voice,V
1133,the,T,of,O
1134,voice,V,justice,J
1135,of,O,and,A
1136,justice,J,consanguinity,C
1137,and,A,we,W
1138,consanguinity,C,must,M
1139,we,W,therefore,T
1140,must,M,acquiesce,A
1141,therefore,T,in,I
1142,acquiesce,A,the,T
1143,in,I,necessity,N
1144,the,T,which,W
1145,necessity,N,denounces,D
1146,which,W,our,O
1147,denounces,D,separation,S
1148,our,O,and,A
1149,separation,S,hold,H
1150,and,A,them,T
1151,hold,H,as,A
1152,them,T,we,W
1153,as,A,hold,H
1154,we,W,the,T
1155,hold,H,rest,R
1156,the,T,of,O
1157,rest,R,mankind,M
1158,of,O,enemies,E
1159,mankind,M,in,I
1160,enemies,E,war,W
