position,cipher_number,expected_letter,dec_straight_pamphlet_text,dec_pamphlet_numbering_forward,dec_pamphlet_numbering_backward,dec_nara_straight,dec_gillogly_table1
164,125,o,o,o,o,o,o
165,110,s,s,s,s,s,s
166,486,e,a,el,e,l,l
167,287,n,i,n,n,n,n
168,98,a,a,a,a,a,a
169,117,m,m,m,m,m,m
170,511,e,l,e,e,f,f
171,62,s,s,s,s,s,s
172,51,a,a,a,a,a,a
173,220,r,r,r,r,t,t
174,37,e,e,e,e,e,e
175,113,g,g,g,g,g,g
176,140,i,i,i,i,i,i
177,807,v,r,v,v,r,i
178,138,e,e,e,e,e,e
179,540,n,o,n,n,o,t
180,8,i,i,i,i,i,i
181,44,n,n,n,n,n,n
182,287,n,i,n,n,n,n
183,388,u,h,u,u,u,u
184,117,m,m,m,m,m,m
185,18,b,b,b,b,b,b
186,79,e,e,e,e,e,e
187,344,r,h,r,r,r,r
188,34,t,t,t,t,t,t
189,20,h,h,h,h,h,h
190,59,r,r,r,r,r,r
191,511,e,l,e,e,f,f
192,548,e,l,e,e,l,f
193,107,h,h,h,h,h,h
194,603,e,a,e,e,a,t
195,220,r,r,r,r,t,t
196,7,e,e,e,e,e,e
197,66,w,w,w,w,w,w
198,154,i,i,i,i,i,i
199,41,t,t,t,t,t,t
200,20,h,h,h,h,h,h
201,50,t,t,t,t,t,t
202,6,h,h,h,h,h,h
203,575,e,a,e,e,a,o
204,122,f,f,f,f,f,f
205,154,i,i,i,i,i,i
206,248,r,t,t,r,r,r
207,110,s,s,s,s,s,s
208,61,t,t,t,t,t,t
209,52,d,d,d,d,d,d
210,33,e,e,e,e,e,e
211,30,p,p,p,p,p,p
212,5,o,o,o,o,o,o
213,38,s,s,s,s,s,s
214,8,i,i,i,i,i,i
215,14,t,t,t,t,t,t
216,84,c,c,c,c,c,c
217,57,o,o,o,o,o,o
218,540,n,o,n,n,o,t
219,217,s,s,s,s,t,t
220,115,i,i,i,i,i,i
221,71,s,s,s,s,s,s
222,29,t,t,t,t,t,t
223,84,e,c,c,c,c,c
224,63,d,d,d,d,d,d
225,43,o,o,o,o,o,o
226,131,f,f,f,f,f,f
227,29,t,t,t,t,t,t
228,138,e,e,e,e,e,e
229,47,n,n,n,n,n,n
230,73,h,h,h,h,h,h
231,239,u,u,u,u,p,p
232,540,n,o,n,n,o,t
233,52,d,d,d,d,d,d
234,53,r,r,r,r,r,r
235,79,e,e,e,e,e,e
236,118,d,d,d,d,d,d
237,51,a,a,a,a,a,a
238,44,n,n,n,n,n,n
239,63,d,d,d,d,d,d
240,196,f,f,f,f,l,l
241,12,o,o,o,o,o,o
242,239,u,u,u,u,p,p
243,112,r,r,r,r,r,r
244,3,t,t,t,t,t,t
245,49,e,e,e,e,e,e
246,79,e,e,e,e,e,e
247,353,n,a,n,n,n,n
248,105,p,p,p,p,p,p
249,56,o,o,o,o,o,o
250,371,u,i,u,u,u,u
251,557,n,t,n,n,t,e
252,211,d,d,d,d,t,t
253,505,s,h,s,t,r,r
254,125,o,o,o,o,o,o
255,360,f,h,f,f,f,f
256,133,g,g,g,g,g,g
257,143,o,o,o,o,o,o
258,101,l,l,l,l,l,l
259,15,d,d,d,d,d,d
260,284,a,c,a,a,a,a
261,540,n,o,n,n,o,t
262,252,d,a,d,d,d,d
263,14,t,t,t,t,t,t
264,205,h,h,h,h,s,s
265,140,i,i,i,i,i,i
266,344,r,h,r,r,r,r
267,26,t,t,t,t,t,t
268,811,y,f,f,f,f,t
269,138,e,e,e,e,e,e
270,115,i,i,i,i,i,i
271,48,g,g,g,g,g,g
272,73,h,h,h,h,h,h
273,34,t,t,t,t,t,t
274,205,h,h,h,h,s,s
275,316,u,a,u,u,u,u
276,607,n,p,n,n,p,o
277,63,d,d,d,d,d,d
278,220,r,r,r,r,t,t
279,7,e,e,e,e,e,e
280,52,d,d,d,d,d,d
281,150,a,a,a,a,a,a
282,44,n,n,n,n,n,n
283,52,d,d,d,d,d,d
284,16,t,t,t,t,t,t
285,40,w,w,w,w,w,w
286,37,e,e,e,e,e,e
287,158,l,l,l,l,i,i
288,807,v,r,v,v,r,i
289,37,e,e,e,e,e,e
290,121,p,p,p,p,p,p
291,12,o,o,o,o,o,o
292,95,u,i,i,i,u,u
293,10,n,n,n,n,n,n
294,15,d,d,d,d,d,d
295,35,s,s,s,s,s,s
296,12,o,o,o,o,o,o
297,131,f,f,f,f,f,f
298,62,s,s,s,s,s,s
299,115,i,i,i,i,i,i
300,102,l,l,l,l,l,l
301,807,v,r,v,v,r,i
302,49,e,e,e,e,e,e
303,53,r,r,r,r,r,r
304,135,d,d,d,d,d,d
305,138,e,e,e,e,e,e
306,30,p,p,p,p,p,p
307,31,o,o,o,o,o,o
308,62,s,s,s,s,s,s
309,67,i,i,i,i,i,i
310,41,t,t,t,t,t,t
311,85,e,e,e,e,e,e
312,63,d,d,d,d,d,d
313,10,n,n,n,n,n,n
314,106,o,o,o,o,o,o
315,807,v,r,v,v,r,i
316,138,e,e,e,e,e,e
317,8,i,i,i,i,i,i
318,113,g,g,g,g,g,g
319,20,h,h,h,h,h,h
320,32,t,t,t,t,t,t
321,33,e,e,e,e,e,e
322,37,e,e,e,e,e,e
323,353,n,a,n,n,n,n
324,287,n,i,n,n,n,n
325,140,i,i,i,i,i,i
326,47,n,n,n,n,n,n
327,85,e,e,e,e,e,e
328,50,t,t,t,t,t,t
329,37,e,e,e,e,e,e
330,49,e,e,e,e,e,e
331,47,n,n,n,n,n,n
332,64,t,t,t,t,t,t
333,6,h,h,h,h,h,h
334,7,e,e,e,e,e,e
335,71,s,s,s,s,s,s
336,33,e,e,e,e,e,e
337,4,c,c,c,c,c,c
338,43,o,o,o,o,o,o
339,47,n,n,n,n,n,n
340,63,d,d,d,d,d,d
341,1,w,w,w,w,w,w
342,27,a,a,a,a,a,a
343,600,s,o,s,s,o,t
344,208,m,m,m,m,a,a
345,230,a,a,a,a,b,b
346,15,d,d,d,d,d,d
347,191,e,e,e,e,s,s
348,246,d,a,a,d,d,d
349,85,e,e,e,e,e,e
350,94,c,c,c,c,c,c
351,511,e,l,e,e,f,f
352,2,i,i,i,i,i,i
353,270,g,n,g,g,g,g
354,20,h,h,h,h,h,h
355,39,t,t,t,t,t,t
356,7,e,e,e,e,e,e
357,33,e,e,e,e,e,e
358,44,n,n,n,n,n,n
359,22,t,t,t,t,t,t
360,40,w,w,w,w,w,w
361,7,e,e,e,e,e,e
362,10,n,n,n,n,n,n
363,3,t,t,t,t,t,t
364,811,y,f,f,f,f,t
365,106,o,o,o,o,o,o
366,44,n,n,n,n,n,n
367,486,e,a,el,e,l,l
368,230,a,a,a,a,b,b
369,353,n,a,n,n,n,n
370,211,d,d,d,d,t,t
371,200,c,c,c,c,a,a
372,31,o,o,o,o,o,o
373,10,n,n,n,n,n,n
374,38,s,s,s,s,s,s
375,140,i,i,i,i,i,i
376,297,s,f,s,s,s,s
377,61,t,t,t,t,t,t
378,603,e,a,e,e,a,t
379,320,d,i,d,d,d,d
380,302,o,h,o,o,o,o
381,666,f,h,f,f,h,h
382,287,n,i,n,n,n,n
383,2,i,i,i,i,i,i
384,44,n,n,n,n,n,n
385,33,e,e,e,e,e,e
386,32,t,t,t,t,t,t
387,511,e,l,e,e,f,f
388,548,e,l,e,e,l,f
389,10,n,n,n,n,n,n
390,6,h,h,h,h,h,h
391,250,u,t,tu,u,u,u
392,557,n,t,n,n,t,e
393,246,d,a,a,d,d,d
394,53,r,r,r,r,r,r
395,37,e,e,e,e,e,e
396,52,d,d,d,d,d,d
397,83,a,a,a,a,a,a
398,47,n,n,n,n,n,n
399,320,d,i,d,d,d,d
400,38,s,s,s,s,s,s
401,33,e,e,e,e,e,e
402,807,v,r,v,v,r,i
403,7,e,e,e,e,e,e
404,44,n,n,n,n,n,n
405,30,p,p,p,p,p,p
406,31,o,o,o,o,o,o
407,250,u,t,tu,u,u,u
408,10,n,n,n,n,n,n
409,15,d,d,d,d,d,d
410,35,s,s,s,s,s,s
411,106,o,o,o,o,o,o
412,160,f,f,f,f,o,o
413,113,g,g,g,g,g,g
414,31,o,o,o,o,o,o
415,102,l,l,l,l,l,l
416,406,d,l,d,d,d,d
417,230,a,a,a,a,b,b
418,540,n,o,n,n,o,t
419,320,d,i,d,d,d,d
420,29,t,t,t,t,t,t
421,66,w,w,w,w,w,w
422,33,e,e,e,e,e,e
423,101,l,l,l,l,l,l
424,807,v,r,v,v,r,i
425,138,e,e,e,e,e,e
426,301,h,t,h,h,h,h
427,316,u,a,u,u,u,u
428,353,n,a,n,n,n,n
429,320,d,i,d,d,d,d
430,220,r,r,r,r,t,t
431,37,e,e,e,e,e,e
