# We Proceeded On (Lewis and Clark Trail Heritage Foundation quarterly) — index of items whose article text/title/author matched death-related search terms, built 2026-09-14 from the WPO search engine at https://lewisandclark.org/search-wpo/ (POST search1=<term>&type1=<Article Text|Article Titles|Authors>).
# Columns: status (OPEN = PDF online at https://lewisandclark.org<href>; PRINT = issue younger than one year, print only) | href | citation as given by the index | search terms that matched (t:=article text, ti:=title, a:=author)
status	href	citation	matched_terms
OPEN	/wpo/pdf/vol10no4.pdf#page=20	"NPS Holds Meeting With L. & C. Advisory Council," November 1984, Vol.10 No. 4, Page 20.	t:Chuinard
OPEN	/wpo/pdf/vol10no4.pdf#page=23	"News Note," November 1984, Vol.10 No. 4, Page 23.	t:Chuinard
OPEN	/wpo/pdf/vol10no4.pdf#page=26	Harry W. Fritz, "Meriwether Lewis and William Clark, and the Discovery of Montana," November 1984, Vol.10 No. 4, Page 26.	t:Alexander Wilson
OPEN	/wpo/pdf/vol10no4.pdf#page=29	"American Science in the Age of Jefferson (Book Review)," November 1984, Vol.10 No. 4, Page 29.	t:exhum
OPEN	/wpo/pdf/vol11no1.pdf#page=10	Paul R. Cutright, "Meriwether Lewis's 'Colouring of Events'," February 1985, Vol.11 No. 1, Page 10.	a:Cutright
OPEN	/wpo/pdf/vol11no1.pdf#page=17	"Three N.W. Committees Plan Joint Meeting In Washington - Idaho," February 1985, Vol.11 No. 1, Page 17.	t:Chuinard
OPEN	/wpo/pdf/vol11no2.pdf#page=12	"Recent Meetings," May 1985, Vol.11 No. 2, Page 12.	t:Chuinard
OPEN	/wpo/pdf/vol11no3.pdf#page=5	Donald Jackson, "Call Him a Good Old Dog, But Don't Call Him Scannon," August 1985, Vol.11 No. 3, Page 5.	a:Jackson
OPEN	/wpo/pdf/vol11no3.pdf#page=12	"Three State Participation Feature Of Washington - Oregon Symposium," August 1985, Vol.11 No. 3, Page 12.	t:Chuinard
OPEN	/wpo/pdf/vol11no3.pdf#page=16	"Recent Meetings," August 1985, Vol.11 No. 3, Page 16.	t:Chuinard
